gyroX,gyroY,gyroZ,accX,accY,accZ,pitch,roll,yaw,type
149.48,61.58,7.87,0.49,0.12,1.63,39.89,95.8,-25.5,1
141.11,68.24,10.99,0.42,0.15,1.6,38.48,100.53,-23.8,1
122.68,72.14,21.42,0.29,0.12,1.51,36.56,103.94,-22.44,1
101.62,71.17,37.35,0.22,0.14,1.45,34.19,106.24,-21.54,1
73.79,58.84,47.06,0.22,0.23,1.37,31.51,107.34,-21.1,1
-172.67,-124.51,-104.49,-0.02,2.11,1.23,22.31,12.62,146.93,1
-203.19,-126.34,-93.93,-0.06,2.2,1.32,17.24,4.17,142.85,1
-224.49,-132.26,-93.75,-0.03,2.23,1.35,11.46,-4.13,139.64,1
-237.67,-140.56,-91.49,0.04,2.31,1.42,5.01,-12.08,137.19,1
-244.2,-149.05,-94.18,0.09,2.34,1.42,-2.21,-19.89,135.46,1
-254.09,-159.85,-91.61,0.14,2.43,1.46,-9.67,-27.81,134.74,1
-263.67,-166.99,-82.28,0.22,2.58,1.49,-17.32,-36.68,135.57,1
-285.46,-174.93,-63.66,0.31,2.72,1.43,-24.4,-47.61,138.29,1
-325.5,-181.15,-41.44,0.29,2.87,1.37,-30.43,-61.84,143.39,1
-364.93,-190.31,-27.28,0.42,2.9,1.38,-35.06,-79.6,150.75,1
-406.31,-202.76,-23.74,0.58,2.87,1.35,-37.29,-100.79,160.24,1
-442.02,-213.99,-15.93,0.49,2.88,1.29,-35.78,-124.98,170.42,1
-489.01,-232.48,-1.22,0.27,2.7,1.16,-29.69,-150.22,-181.3,1
-529.05,-267.82,19.47,0.17,2.52,1.07,-19.75,-174.28,-177.63,1
-584.59,-354.19,60.97,0.09,2.24,0.89,-5.6,160.74,-181.74,1
-639.04,-417.54,99.12,0.14,2.12,0.84,5.84,132.88,165.84,1
-686.16,-457.4,135.8,0.21,2.01,0.79,8.63,101.11,147.06,1
-737.73,-489.99,165.47,0.43,1.8,0.81,-0.88,68.44,128.54,1
-814.45,-518.43,199.71,0.59,1.62,0.83,-20.26,36.97,117.78,1
-889.1,-535.95,233.34,0.54,1.41,0.76,-42.78,1,119.91,1
-952.58,-560.36,257.69,0.45,1.13,0.5,-58.21,-57.79,148.31,1
-1016.11,-613.83,282.29,0.33,0.82,0.19,-47.94,-127.68,-173.24,1
-1032.65,-672.12,293.7,0.11,0.31,0.02,-21.44,-171.76,-167.34,1
-1041.08,-737.61,308.59,0.17,0.11,-0.14,3.76,150.17,-183.75,1
-1041.2,-819.34,324.65,0.54,-0.06,-0.07,11.48,106.08,145.31,1
-1041.08,-849,333.13,1.19,-0.07,0.3,-5.91,64.11,116.84,1
-1044.86,-793.52,365.23,1.73,0.09,0.78,-36.89,27.21,106.53,1
-1039.43,-693.97,387.82,1.71,0.36,1,-61.73,-31.42,130.55,1
-1030.03,-598.14,401.61,1.29,0.69,0.97,-54.94,-110.84,-182.47,1
-1012.94,-527.95,404.24,0.8,1.01,0.6,-32.92,-154.17,-175.86,1
-1001.1,-510.86,392.64,0.4,1.3,0.21,-12.76,170.48,-186.91,1
-975.89,-520.81,344.54,-0.1,2.16,-0.52,1.11,133.27,154.22,1
-971.68,-596.8,243.71,-0.26,2.25,-0.97,4.23,93.9,129.38,1
-974.91,-678.65,146.55,-0.25,2.3,-1.25,-5.87,57.6,104.44,1
-975.16,-755.19,48.16,-0.15,2.24,-1.27,-27.66,27.81,84.19,1
-970.34,-792.11,-17.21,0,2.08,-1,-56.12,1.91,70.8,1
-930.3,-767.21,-63.84,-0.03,2.2,-0.6,-83.58,-56.85,96.42,1
-891.54,-697.81,-79.35,-0.22,2.87,-0.06,-67.34,165.49,-158.54,1
-865.78,-600.52,-89.84,-0.67,3.68,0.09,-45.31,139.22,-167.99,1
-857.18,-525.02,-97.78,-1.26,4.8,-0.15,-29.26,113.66,-182.41,1
-865.66,-444.09,-131.47,-1.33,6.13,-0.55,-19.07,85.37,162.03,1
-898.74,-364.5,-213.38,-1.3,7.22,-1.66,-12.91,55.05,145.45,1
-915.34,-310.61,-338.99,-1.01,7.94,-2.66,-10.92,26.05,125.06,1
-882.51,-293.76,-503.85,-0.29,7.94,-3.45,-16.5,1.31,99.78,1
-800.17,-283.45,-663.39,0.44,7.94,-3.79,-30.39,-13.8,70.37,1
-668.95,-245.3,-789.55,1.4,7.94,-4.17,-47.73,-12.81,33.14,1
-536.93,-182.13,-846.01,2.36,7.94,-4.15,-53.22,15.52,-22.77,1
-326.54,-46.26,-871.95,3.23,7.94,-3.83,-33.83,40.52,-64.15,1
-81.79,131.96,-863.16,3.76,7.94,-3.57,-4,50.53,-83.07,1
185.67,311.83,-856.14,4.23,7.94,-3.16,30.73,63.93,-88.8,1
402.34,414.37,-851.26,4.44,7.94,-1.98,63.2,102.12,-68.63,1
705.38,526,-824.58,4.86,7.94,-0.17,56.35,-159.94,3.93,1
1003.05,648.13,-771.67,4.96,7.94,1.17,20.05,-116.37,5.69,1
1255.68,787.84,-678.04,4.67,7.94,2.65,-5.15,-70.93,-21.9,1
1437.87,896.55,-577.51,4.08,7.94,3.64,5.21,-14.54,-57.35,1
1634.03,975.65,-471.37,2.96,7.94,4.53,39.69,45.48,-63.14,1
1812.5,1026.86,-388.24,3.65,7.94,6.71,46.56,145.9,-15.58,1
1984.31,1272.95,-90.82,7.48,7.94,7.94,-3.05,-148.13,-22.42,1
1984.31,1941.28,526.37,7.94,7.94,7.94,-2.14,-75.76,-86.73,1
1799.01,1984.31,1281.19,7.94,7.94,7.94,68.24,-36.41,-115.32,1
990.3,1984.31,1771.91,-2.25,7.94,7.94,22.08,134.41,47.37,1
-314.82,1957.4,1884.95,-8,7.94,1.87,-42.03,101.68,57.44,1
-853.03,710.33,1255.62,-8,7.94,-1.03,-72.6,36.66,92.48,1
-714.17,-1248.96,15.2,-8,6.38,-4.64,-25.53,134.56,-29.27,1
-254.09,-2000,-1005.25,3.97,7.94,-0.98,50.73,124.04,-51.54,1
48.03,-2000,-1373.23,7.91,7.94,4.67,46.27,-9.25,162.1,1
97.29,-1786.62,-1182.5,7.29,7.94,7.94,-10.82,-13.29,136.8,1
114.99,-916.93,-877.69,2.94,3.7,7.88,-40.93,10.01,102.26,1
284.73,-488.34,-775.15,-1.48,1.93,4.99,-35.17,53.88,62.62,1
656.56,-256.65,-726.99,-1.13,3.44,4.68,-11.43,89.33,46.14,1
924.93,-93.26,-625.85,2.24,4.15,6.92,9.02,126.14,52.51,1
